series_id,group,rmse_point,rmse_hurdle,mae_point,mae_hurdle,delta_raw,delta_relative
FOODS_2_104_TX_2_evaluation,candidate,2.0147518602082304,2.075186397937164,1.5246098736921947,1.5851606882753826,-0.0604345377289337,-0.029996020315220168
FOODS_2_104_WI_2_evaluation,candidate,1.7211650731080776,1.693582420720592,1.2900638757717042,1.269662428469885,0.027582652387485584,0.016025570596594124
FOODS_2_115_CA_1_evaluation,candidate,1.5531076036281397,1.5128591010782155,1.218432607750098,1.2300399066436858,0.04024850254992418,0.02591481907364409
FOODS_2_115_TX_3_evaluation,candidate,1.7445913359805285,1.7798221935818395,1.1804508027576266,1.1735271087714605,-0.03523085760131095,-0.02019433254923843
FOODS_2_115_WI_2_evaluation,candidate,5.132066908851441,4.987093317798581,3.324967344601949,3.3938109307062057,0.14497359105286023,0.02824857774219966
FOODS_2_128_WI_2_evaluation,candidate,21.443120504863973,21.930620124180944,14.67157895224435,14.984659600115958,-0.4874996193169707,-0.022734546457750422
FOODS_2_128_WI_3_evaluation,candidate,5.339120037406949,6.073254389302907,3.9529855166162764,4.398126218290556,-0.7341343518959578,-0.1375010014295361
FOODS_2_144_WI_2_evaluation,candidate,3.6099934724825182,3.7190181392525186,2.548560409318833,2.642977239830153,-0.10902466677000033,-0.03020079332581904
FOODS_2_149_WI_2_evaluation,candidate,3.401752543444637,3.3078591734419036,2.770962056659517,2.6397382744721005,0.09389337000273335,0.02760146977288839
FOODS_2_166_TX_1_evaluation,candidate,0.8802121934261762,0.8021489425265711,0.7195862047374249,0.5196922362915107,0.07806325089960509,0.08868685469551188
FOODS_2_166_TX_2_evaluation,candidate,1.463367647718157,1.4442469306921746,1.0969815041337694,0.8776362923284372,0.019120717025982392,0.013066242824076032
FOODS_2_166_TX_3_evaluation,candidate,0.8975128702188345,0.7723135159302899,0.7640210929371062,0.535244378128222,0.12519935428854467,0.13949588740495517
FOODS_2_166_WI_3_evaluation,candidate,2.624831321980613,2.5250780994797073,2.1819518974849155,1.9836872702553159,0.0997532225009059,0.03800366967033727
FOODS_2_169_CA_1_evaluation,candidate,0.7506867160998066,0.7633496869333631,0.6381290668532962,0.6059163308569363,-0.012662970833556497,-0.0168685159361111
FOODS_2_181_WI_3_evaluation,candidate,5.488731462901238,5.056913733512292,3.9912564868018743,3.7085101036798385,0.43181772938894625,0.07867350266771764
FOODS_2_183_TX_1_evaluation,candidate,3.5007247786144085,3.731516893534074,2.4735505126771473,2.620480008068539,-0.23079211491966545,-0.0659269521356127
FOODS_2_183_TX_3_evaluation,candidate,2.5002763148913023,2.058647855263865,2.1165774897450493,1.5987387327920823,0.44162845962743713,0.17663186144553653
FOODS_2_183_WI_2_evaluation,candidate,7.034985380499838,7.153463091597898,5.396065604119074,5.5255639638219565,-0.11847771109805993,-0.016841216390650417
FOODS_2_184_TX_2_evaluation,candidate,1.5536044887256881,1.6097029439941535,1.2616267033985682,1.2700659746215457,-0.05609845526846535,-0.036108582123419934
