dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_1_085_TX_3_evaluation,erratic,0.151955669525746,-0.010647452603845807,-0.0517699920183982,4.862195113195352,4.91396510521375,1.2104566512243546,0.6030242194153743,0.1738655002733734,1511,83
m5,FOODS_1_088_CA_4_evaluation,intermittent,0.0061086454815005,0.06155232660508035,0.0551075824295443,0.8952964976143709,0.8401889151848265,2.4034165571616293,0.39801916569069984,0.5839256424275561,761,36
m5,FOODS_1_093_CA_2_evaluation,intermittent,0.0097420513421247,-0.019695451679620005,-0.0303337791045033,1.5401413279539748,1.570475107058478,3.908119658119658,0.4055499191284328,0.7158469945355191,468,53
m5,FOODS_1_095_CA_1_evaluation,lumpy,0.2130746282260782,0.253363414161157,0.1091441410750077,0.430780984840946,0.3216368437659383,8.021929824561404,0.4920226601053074,0.8753417167851285,228,5
m5,FOODS_1_096_TX_3_evaluation,lumpy,0.0085251404579937,-0.003879632288657276,-0.0419016064001738,10.80040665778554,10.842308264185712,1.5987762237762237,0.5820629755962424,0.3745215965008201,1144,82
m5,FOODS_1_096_WI_2_evaluation,erratic,0.4421044497874703,0.01878386278446326,0.2877733282104202,15.320242247960136,15.032468919749716,1.2433718558803535,0.818920542020443,0.1957353745215965,1471,83
m5,FOODS_1_097_CA_2_evaluation,lumpy,0.0032918942248894,-0.0010569311442591809,-0.0016541836579653,1.5650817623741635,1.5667359460321288,2.7838660578386607,0.5027971992069503,0.3062302006335797,657,58
m5,FOODS_1_101_CA_2_evaluation,lumpy,0.0169492612558614,-0.00024746923927596314,-0.0003037095494957,1.2272618220522389,1.2275655316017346,2.6661807580174925,0.5617798619750441,0.6249316566429743,686,47
m5,FOODS_1_102_CA_2_evaluation,intermittent,0.0151384798782848,-0.03838786576366771,-0.0553323454674674,1.4414019734287191,1.4967343188961868,2.1391812865497077,0.45470820949170443,0.5177664974619289,855,38
m5,FOODS_1_105_CA_2_evaluation,lumpy,0.0062230184928557,-0.02666528437139868,-0.0382640415024801,1.434975939859929,1.4732399813624093,4.010964912280702,0.49796693748033727,0.6698044895003621,456,39
m5,FOODS_1_106_CA_2_evaluation,erratic,0.0028590487540428,-0.022076988978362844,-0.0679094950958139,3.0760306653398457,3.14394016043566,1.24,0.5472898628910671,0.1935483870967742,1475,63
m5,FOODS_1_108_CA_3_evaluation,erratic,0.0163833082226688,0.01597004138640489,0.0450176820472019,2.818883242564726,2.773865560517524,1.1792392005157963,0.5610761905818606,0.1519956260251503,1551,58
m5,FOODS_1_113_CA_2_evaluation,lumpy,0.0046188118288059,-0.01629127818172156,-0.0623650893460165,3.828127458776604,3.8904925481226207,2.4682860998650473,0.8077853726668499,0.4792691496837667,741,68
