series_id,rmse_point,mae_point,rmse_hurdle,mae_hurdle,rmse_fifty,mae_fifty,rmse_global_alpha,mae_global_alpha,rmse_gate_v1,mae_gate_v1,rmse_gate_v2,mae_gate_v2,rmse_oracle_hard,mae_oracle_hard,rmse_oracle_convex,mae_oracle_convex
HOUSEHOLD_2_211_TX_2_evaluation,0.3629962235286293,0.3450322885598455,0.24473485267444076,0.1909062998103244,0.297213725494839,0.2679692941407363,0.29721372551555897,0.26796929418508497,0.2656639120809884,0.22515736697685151,0.26877540839025754,0.2294726428531465,0.24473485267444076,0.1909062998103244,0.24473485267444076,0.1909062998103244
HOUSEHOLD_2_211_TX_3_evaluation,0.3133977363157479,0.2907521513601144,0.19987792621783354,0.16214424566853614,0.252199945205594,0.226448199135207,0.2521999443613156,0.22644819851432527,0.23043329223762235,0.20123894317519098,0.2279680286551964,0.19840465157869316,0.19987792621783354,0.16214424566853614,0.19987792621783354,0.16214424566853614
HOUSEHOLD_2_211_WI_1_evaluation,0.4222925084976307,0.37994869621027083,0.32437582984651075,0.22549233700902688,0.3650370383618674,0.3027205177183662,0.36503703707334895,0.3027205166096489,0.3380836496402146,0.2580717093355599,0.34151998698996905,0.2642018550208637,0.32437582984651075,0.22549233700902688,0.32437582984651075,0.22549233700902688
HOUSEHOLD_2_211_WI_2_evaluation,0.33798688614163747,0.32405352202199755,0.18594597091771192,0.16599220560774916,0.25889615529191246,0.2450228633270377,0.258896155579673,0.24502286381487334,0.21579615500077348,0.20056637243500777,0.2234551770636923,0.20844491411532676,0.18594597091771192,0.16599220560774916,0.18594597091771192,0.16599220560774916
HOUSEHOLD_2_211_WI_3_evaluation,0.2835815884386029,0.269839989819697,0.16352747570283588,0.14211563508780228,0.22054687507889054,0.20597781169982182,0.2205468762086213,0.20597781245374963,0.19551874235068048,0.17911932732732522,0.19248752580699874,0.17563940966058345,0.16352747570283588,0.14211563508780228,0.16352747570283588,0.14211563508780228
HOUSEHOLD_2_212_CA_3_evaluation,1.4449829755039003,1.075497574749447,1.5235563076694676,1.0644537299161865,1.4712717643059363,1.0448407175995054,1.471271762872581,1.0448407149385839,1.4797296462879272,1.044223515760331,1.4740850181349439,1.0441319484795843,1.4449829755039003,1.075497574749447,1.4434057217682144,1.0546624837170477
HOUSEHOLD_2_212_CA_4_evaluation,1.436891316348312,1.0032466823856037,1.4276015330879375,0.8781074603043851,1.42467304425399,0.9406770705467179,1.4246730451770386,0.9406770713449943,1.4209078905408898,0.9143754829253469,1.422429578181194,0.9175851866602898,1.412112033579125,0.9329223966314679,1.4103913802096484,0.9118224449126858
HOUSEHOLD_2_212_TX_1_evaluation,1.2759582683930752,1.0163028261491232,1.2826187365183856,0.9868937904636065,1.273211792375479,0.9964615816161746,1.273211792352296,0.9964615864058336,1.2725603232134945,0.9959315891776767,1.2709626675637586,0.9936577528715134,1.2625264256272102,0.9907538621198564,1.2624959435333252,0.990790772870539
HOUSEHOLD_2_212_TX_3_evaluation,1.0856769033408973,0.7906856224650428,1.0663916991630338,0.7029286637192681,1.0645052021244839,0.7447634073240417,1.0645051976086881,0.7447634012926192,1.0636255497961582,0.736109356440249,1.0643974143016053,0.7478711665386245,1.0562420838297528,0.7159229137358212,1.0546696105817044,0.721330355322251
HOUSEHOLD_2_212_WI_2_evaluation,1.0031794617990888,0.8310016698780514,1.0139159263742208,0.8361322858503887,0.9974226095598783,0.818797862245923,0.9974226071392187,0.8187978572788692,1.0025122216456033,0.8252029337343716,1.000216795004574,0.8220294408854985,1.0031794617990888,0.8310016698780514,0.9967557841691717,0.8172053516811415
